id	type	heading	synonyms
CHEMBL2367122	Organism	Oncorhynchus mykiss	
CHEMBL2367123	Organism	Rotala indica	
CHEMBL2367124	Organism	Amaranthus blitum subsp. oleraceus	
CHEMBL2367125	Organism	Clonostachys rosea	
CHEMBL2367126	Organism	Ustilaginoidea	
CHEMBL2367127	Organism	Cyperus serotinus	
CHEMBL2367128	Organism	Nitrosomonas europaea	
CHEMBL2367129	Organism	Desmanthus illinoensis	
CHEMBL2367130	Organism	Bactrocera dorsalis	
CHEMBL2367132	Organism	Goffeauzyma gastrica	
CHEMBL2367133	Organism	Siminovitchia fortis	
CHEMBL2367134	Organism	Sogatella furcifera	
CHEMBL2367135	Organism	Rhodococcus rhodochrous	
CHEMBL2367136	Organism	Xanthogaleruca luteola	
CHEMBL2367137	Organism	Carnation Italian ringspot virus	
CHEMBL2367138	Organism	Lepinotus reticulatus	
CHEMBL2367139	Organism	Amblyseius andersoni	
CHEMBL2367140	Organism	Streptomyces albus	
CHEMBL2367141	Organism	Colletotrichum lindemuthianum	
CHEMBL2367142	Organism	Fuchsia	
CHEMBL2367143	Organism	Eurhopalus australis	
CHEMBL2367144	Organism	Stromatinia cepivora	
CHEMBL2367145	Organism	Pseudococcus affinis	
CHEMBL2367146	Organism	Citrus x paradisi	
CHEMBL2367147	Organism	Stutzerimonas stutzeri	
CHEMBL2367148	Organism	Cyperus microiria	
CHEMBL2367149	Organism	Popillia japonica	
CHEMBL2367150	Organism	Cacopsylla melanoneura	
CHEMBL2367151	Organism	Mamestra brassicae	
CHEMBL2367152	Organism	Tetradesmus obliquus	
CHEMBL2367153	Organism	Synechococcus	
CHEMBL2367154	Organism	Peribacillus frigoritolerans	
CHEMBL2367155	Organism	Cytospora ceratosperma	
CHEMBL2367156	Organism	Rosellinia necatrix	
CHEMBL2367157	Organism	Misumenops	
CHEMBL2367158	Organism	Anas platyrhynchos	
CHEMBL2367159	Organism	Phytoseiulus persimilis	
CHEMBL2367160	Organism	Podosphaera pannosa	
CHEMBL2367161	Organism	Podosphaera leucotricha	
CHEMBL2367162	Organism	Botryosphaeria kuwatsukai	
CHEMBL2367163	Organism	Phytolacca acinosa	
CHEMBL2367165	Organism	Harmonia axyridis	
CHEMBL2367166	Organism	Agrotis ipsilon	
CHEMBL2367167	Organism	Amphimallon majale	
CHEMBL2367168	Organism	Leuciscus idus	
